Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
SMA Nusantara 142,Jl. Sudirman No.25,Grogol Petamburan,Jakarta Barat,SMA,Internasional,IB,1150645,3805704,Bahasa Inggris,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Katolik,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"yogyakarta di yogyakarta tk internasional a kolam renang, aula basket, pramuka, musik katolik 1150645 3805704",0.033481199,www.smanusantara142.sch.id
Sekolah Harapan Bangsa 3,Jl. Merdeka No.10,Johar Baru,Jakarta Pusat,TK,Internasional,IB,917639,7258582,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Debat Nasional,Bus Sekolah,0274-998877,"surabaya di yogyakarta sd internasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 917639 7258582",0.083886945,www.sekolahharapanbangsa3.sch.id
SMA Nusantara 211,Jl. Raya Ujung,Duren Sawit,Jakarta Timur,SMA,Nasional Plus,Cambridge,2903122,14651921,Mandarin,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Bus Sekolah,0361-556677,"surabaya di yogyakarta sma nasional plus a kolam renang, aula basket, pramuka, musik hindu 2903122 14651921",0.055075666,www.smanusantara211.sch.id
SMP Pelita Ilmu 138,Jl. Merdeka No.10,Tanjung Priok,Jakarta Utara,SMP,Nasional Plus,IB,1169789,3011852,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Kristen,Juara 1 OSN,Bus Sekolah,0361-556677,"bandung dki jakarta sma nasional plus c kolam renang, aula basket, pramuka, musik kristen 1169789 3011852",0.096169477,www.smppelitailmu138.sch.id
SMP Pelita Ilmu 126,Jl. Raya Ujung,Menteng,Jakarta Pusat,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Tidak Ada,0274-998877,"denpasar bali sd negeri b ruang musik, ruang seni futsal, tari, robotik hindu 2041446 12344104",0,www.smppelitailmu126.sch.id
SD Bintang Timur 291,Jl. Mawar No.2,Pesanggrahan,Jakarta Selatan,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Debat Nasional,Antar Jemput Pribadi,031-8765432,"jakarta selatan bali sd negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 323209 19668303",0.065449249,www.sdbintangtimur291.sch.id
TK Ceria 232,Jl. Mawar No.2,Taman Sari,Jakarta Barat,TK,Nasional Plus,Kurikulum 2013,2415979,12537142,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Debat Nasional,Antar Jemput Pribadi,031-8765432,"jakarta selatan di yogyakarta smp nasional plus c ruang musik, ruang seni pencak silat, kir hindu 2415979 12537142",0.014936699,www.tkceria232.sch.id
SD Bintang Timur 62,Jl. Sudirman No.25,Cempaka Putih,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,031-8765432,"surabaya di yogyakarta smp negeri b kolam renang, aula pencak silat, kir kristen 305093 14927878",0,www.sdbintangtimur62.sch.id
SMP Pelita Ilmu 203,Jl. Sudirman No.25,Tanjung Priok,Jakarta Utara,SMP,Internasional,Cambridge,211152,8609425,Bahasa Inggris,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Katolik,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"yogyakarta jawa timur sma internasional a kolam renang, aula futsal, tari, robotik katolik 211152 8609425",0.021634509,www.smppelitailmu203.sch.id
SMA Nusantara 33,Jl. Mawar No.2,Johar Baru,Jakarta Pusat,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Tidak Ada,0361-556677,"bandung jawa timur smp negeri b ruang musik, ruang seni futsal, tari, robotik budha 1650214 19033436",0,www.smanusantara33.sch.id
SMP Pelita Ilmu 88,Jl. Raya Ujung,Johar Baru,Jakarta Pusat,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Debat Nasional,Antar Jemput Pribadi,022-7654321,"surabaya jawa timur smp negeri a kolam renang, aula futsal, tari, robotik hindu 2541676 9311394",0,www.smppelitailmu88.sch.id
Sekolah Harapan Bangsa 138,Jl. Merdeka No.10,Pancoran,Jakarta Selatan,SMA,Internasional,Cambridge,1362303,16459054,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Hindu,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"surabaya dki jakarta sd internasional b ruang musik, ruang seni futsal, tari, robotik hindu 1362303 16459054",0.040131635,www.sekolahharapanbangsa138.sch.id
SMA Nusantara 76,Jl. Sudirman No.25,Pasar Minggu,Jakarta Selatan,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Tidak Ada,021-1234567,"denpasar di yogyakarta sma negeri b ruang musik, ruang seni basket, pramuka, musik hindu 1194644 10681970",0.053246075,www.smanusantara76.sch.id
SMP Pelita Ilmu 175,Jl. Gatot Subroto No.15,Duren Sawit,Jakarta Timur,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Debat Nasional,Tidak Ada,021-1234567,"surabaya di yogyakarta tk negeri a kolam renang, aula basket, pramuka, musik islam 730073 11445368",0.063661181,www.smppelitailmu175.sch.id
SD Bintang Timur 130,Jl. Mawar No.2,Tebet,Jakarta Selatan,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Tidak Ada,022-7654321,"denpasar dki jakarta tk negeri b kolam renang, aula futsal, tari, robotik tidak ada 2274193 8864744",0.040419334,www.sdbintangtimur130.sch.id
SMA Nusantara 232,Jl. Raya Ujung,Pasar Minggu,Jakarta Selatan,SMA,Nasional,IB,1093313,13271634,Bahasa Inggris,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Katolik,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"bandung jawa timur sd nasional a kolam renang, aula futsal, tari, robotik katolik 1093313 13271634",0,www.smanusantara232.sch.id
SMP Pelita Ilmu 95,Jl. Sudirman No.25,Kalideres,Jakarta Barat,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,021-1234567,"denpasar bali sma negeri a kolam renang, aula basket, pramuka, musik islam 2222936 5083420",0.086383425,www.smppelitailmu95.sch.id
SMP Pelita Ilmu 58,Jl. Gatot Subroto No.15,Pantai Indah Kapuk,Jakarta Utara,SMP,Nasional,Kurikulum 2013,400472,5245505,Jepang,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Lomba Tari Provinsi,Tidak Ada,031-8765432,"yogyakarta bali tk nasional c ruang musik, ruang seni basket, pramuka, musik budha 400472 5245505",0.033373733,www.smppelitailmu58.sch.id
Sekolah Harapan Bangsa 40,Jl. Merdeka No.10,Tanah Abang,Jakarta Pusat,TK,Nasional Plus,Cambridge,556116,19376968,Bahasa Inggris,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Budha,Debat Nasional,Tidak Ada,0361-556677,"denpasar bali smp nasional plus a kolam renang, aula basket, pramuka, musik budha 556116 19376968",0.034108001,www.sekolahharapanbangsa40.sch.id
SD Bintang Timur 109,Jl. Mawar No.2,Taman Sari,Jakarta Barat,SD,Nasional Plus,Kurikulum Merdeka,2093333,11023389,Mandarin,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Budha,Lomba Tari Provinsi,Tidak Ada,031-8765432,"yogyakarta jawa barat smp nasional plus a ruang musik, ruang seni futsal, tari, robotik budha 2093333 11023389",0,www.sdbintangtimur109.sch.id
SMA Nusantara 261,Jl. Merdeka No.10,Pademangan,Jakarta Utara,SMA,Nasional Plus,Cambridge,2141948,19681949,Bahasa Inggris,A,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Juara 1 OSN,Antar Jemput Pribadi,022-7654321,"yogyakarta bali tk nasional plus a kolam renang, aula pencak silat, kir islam 2141948 19681949",0.029893182,www.smanusantara261.sch.id
SD Bintang Timur 104,Jl. Gatot Subroto No.15,Senen,Jakarta Pusat,SD,Nasional,Cambridge,1065260,9141007,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Tidak Ada,031-8765432,"yogyakarta jawa timur tk nasional a lab komputer, perpustakaan, lapangan pencak silat, kir islam 1065260 9141007",0.080265423,www.sdbintangtimur104.sch.id
TK Ceria 65,Jl. Mawar No.2,Pancoran,Jakarta Selatan,TK,Nasional,Cambridge,2330581,17237072,Jepang,A,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Tidak Ada,021-1234567,"bandung dki jakarta sd nasional a lab komputer, perpustakaan, lapangan pencak silat, kir islam 2330581 17237072",0.12091303,www.tkceria65.sch.id
SD Bintang Timur 15,Jl. Raya Ujung,Mampang Prapatan,Jakarta Selatan,SD,Nasional Plus,IB,1442512,3318209,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Tidak Ada,021-1234567,"jakarta selatan di yogyakarta sma nasional plus c kolam renang, aula basket, pramuka, musik hindu 1442512 3318209",0.069904414,www.sdbintangtimur15.sch.id
SMP Pelita Ilmu 224,Jl. Sudirman No.25,Kramat Jati,Jakarta Timur,SMP,Nasional,Cambridge,307707,14892733,Jepang,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"bandung jawa barat sma nasional c kolam renang, aula futsal, tari, robotik budha 307707 14892733",0.021635925,www.smppelitailmu224.sch.id
SMP Pelita Ilmu 233,Jl. Raya Ujung,Tanjung Priok,Jakarta Utara,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Bus Sekolah,022-7654321,"bandung bali sd negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 192769 16953653",0.049478965,www.smppelitailmu233.sch.id
SMP Pelita Ilmu 10,Jl. Mawar No.2,Cipayung,Jakarta Timur,SMP,Nasional,IB,772581,9452801,Mandarin,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Budha,Debat Nasional,Antar Jemput Pribadi,0274-998877,"jakarta selatan bali smp nasional b kolam renang, aula basket, pramuka, musik budha 772581 9452801",0.050109546,www.smppelitailmu10.sch.id
SD Bintang Timur 217,Jl. Mawar No.2,Jagakarsa,Jakarta Selatan,SD,Nasional Plus,IB,1673711,1850466,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Bus Sekolah,022-7654321,"jakarta selatan dki jakarta smp nasional plus b lab komputer, perpustakaan, lapangan futsal, tari, robotik budha 1673711 1850466",0.102214979,www.sdbintangtimur217.sch.id
SMA Nusantara 166,Jl. Gatot Subroto No.15,Penjaringan,Jakarta Utara,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Debat Nasional,Antar Jemput Pribadi,021-1234567,"yogyakarta dki jakarta tk negeri c lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 1197585 19337370",0.125674587,www.smanusantara166.sch.id
SMP Pelita Ilmu 286,Jl. Gatot Subroto No.15,Penjaringan,Jakarta Utara,SMP,Nasional Plus,IB,1956668,13140366,Jepang,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Tidak Ada,Debat Nasional,Bus Sekolah,022-7654321,"yogyakarta dki jakarta smp nasional plus b ruang musik, ruang seni futsal, tari, robotik tidak ada 1956668 13140366",0.039254941,www.smppelitailmu286.sch.id
TK Ceria 109,Jl. Raya Ujung,Duren Sawit,Jakarta Timur,TK,Internasional,Cambridge,497948,14954376,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Lomba Tari Provinsi,Tidak Ada,0274-998877,"denpasar di yogyakarta tk internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 497948 14954376",0.083787669,www.tkceria109.sch.id
SMP Pelita Ilmu 189,Jl. Raya Ujung,Cempaka Putih,Jakarta Pusat,SMP,Internasional,Cambridge,2232997,7976505,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Katolik,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"denpasar dki jakarta sma internasional a ruang musik, ruang seni basket, pramuka, musik katolik 2232997 7976505",0.093191644,www.smppelitailmu189.sch.id
SMP Pelita Ilmu 217,Jl. Gatot Subroto No.15,Tanah Abang,Jakarta Pusat,SMP,Nasional Plus,Kurikulum Merdeka,1782138,18118633,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Debat Nasional,Bus Sekolah,031-8765432,"jakarta selatan jawa barat sma nasional plus a ruang musik, ruang seni basket, pramuka, musik budha 1782138 18118633",0.067267897,www.smppelitailmu217.sch.id
SD Bintang Timur 300,Jl. Raya Ujung,Cilincing,Jakarta Utara,SD,Internasional,IB,1442404,3279470,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,022-7654321,"jakarta selatan bali sd internasional b lab komputer, perpustakaan, lapangan pencak silat, kir islam 1442404 3279470",0.09489493,www.sdbintangtimur300.sch.id
TK Ceria 159,Jl. Gatot Subroto No.15,Cakung,Jakarta Timur,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Tidak Ada,022-7654321,"yogyakarta dki jakarta sma negeri c ruang musik, ruang seni basket, pramuka, musik hindu 2425366 13392704",0.093685711,www.tkceria159.sch.id
TK Ceria 10,Jl. Raya Ujung,Pantai Indah Kapuk,Jakarta Utara,TK,Internasional,IB,768537,6669213,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Katolik,Debat Nasional,Bus Sekolah,021-1234567,"yogyakarta jawa barat tk internasional b lab komputer, perpustakaan, lapangan pencak silat, kir katolik 768537 6669213",0.050386887,www.tkceria10.sch.id
SMA Nusantara 224,Jl. Mawar No.2,Matraman,Jakarta Timur,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,031-8765432,"yogyakarta dki jakarta sd negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik islam 1850604 10790462",0.120969411,www.smanusantara224.sch.id
TK Ceria 179,Jl. Mawar No.2,Pademangan,Jakarta Utara,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Tidak Ada,0361-556677,"yogyakarta jawa timur smp negeri c ruang musik, ruang seni basket, pramuka, musik islam 520349 18876283",0.061473353,www.tkceria179.sch.id
TK Ceria 278,Jl. Gatot Subroto No.15,Sawah Besar,Jakarta Pusat,TK,Nasional Plus,Cambridge,2919097,7957370,Jepang,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Kristen,Juara 1 OSN,Tidak Ada,022-7654321,"bandung bali sma nasional plus c ruang musik, ruang seni basket, pramuka, musik kristen 2919097 7957370",0.053372985,www.tkceria278.sch.id
SMA Nusantara 236,Jl. Merdeka No.10,Tambora,Jakarta Barat,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,0361-556677,"surabaya jawa timur smp negeri c lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 1489818 9628347",0.113163772,www.smanusantara236.sch.id
Sekolah Harapan Bangsa 225,Jl. Raya Ujung,Jagakarsa,Jakarta Selatan,SMP,Nasional,Kurikulum 2013,2634249,10780709,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Tidak Ada,022-7654321,"denpasar bali sd nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik islam 2634249 10780709",0.080754352,www.sekolahharapanbangsa225.sch.id
TK Ceria 170,Jl. Mawar No.2,Duren Sawit,Jakarta Timur,TK,Nasional,Kurikulum Merdeka,1973858,17655667,Jepang,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"denpasar bali sma nasional c kolam renang, aula basket, pramuka, musik islam 1973858 17655667",0.087016399,www.tkceria170.sch.id
TK Ceria 61,Jl. Merdeka No.10,Tanjung Priok,Jakarta Utara,TK,Internasional,Cambridge,2695560,10893797,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Debat Nasional,Bus Sekolah,0361-556677,"denpasar bali sma internasional b lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 2695560 10893797",0.072060267,www.tkceria61.sch.id
SMA Nusantara 226,Jl. Merdeka No.10,Pasar Minggu,Jakarta Selatan,SMA,Nasional,IB,2676863,6466487,Jepang,A,"Kolam Renang, Aula","Pencak Silat, KIR",Kristen,Debat Nasional,Bus Sekolah,021-1234567,"bandung bali smp nasional a kolam renang, aula pencak silat, kir kristen 2676863 6466487",0,www.smanusantara226.sch.id
Sekolah Harapan Bangsa 75,Jl. Mawar No.2,Koja,Jakarta Utara,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Bus Sekolah,022-7654321,"yogyakarta jawa timur smp negeri b lab komputer, perpustakaan, lapangan basket, pramuka, musik kristen 1575730 11723066",0.084282158,www.sekolahharapanbangsa75.sch.id
SD Bintang Timur 299,Jl. Mawar No.2,Duren Sawit,Jakarta Timur,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"jakarta selatan jawa timur sd negeri b lab komputer, perpustakaan, lapangan pencak silat, kir hindu 1051983 13890796",0.064750482,www.sdbintangtimur299.sch.id
Sekolah Harapan Bangsa 147,Jl. Raya Ujung,Matraman,Jakarta Timur,SD,Internasional,Cambridge,1332258,7728540,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Bus Sekolah,021-1234567,"yogyakarta di yogyakarta sma internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 1332258 7728540",0.132686176,www.sekolahharapanbangsa147.sch.id
SMA Nusantara 31,Jl. Sudirman No.25,Penjaringan,Jakarta Utara,SMA,Internasional,Cambridge,533436,6912684,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Tidak Ada,Debat Nasional,Bus Sekolah,0361-556677,"bandung di yogyakarta tk internasional b kolam renang, aula futsal, tari, robotik tidak ada 533436 6912684",0,www.smanusantara31.sch.id
SD Bintang Timur 92,Jl. Gatot Subroto No.15,Pademangan,Jakarta Utara,SD,Internasional,IB,712999,4566430,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Lomba Tari Provinsi,Antar Jemput Pribadi,031-8765432,"jakarta selatan dki jakarta tk internasional c kolam renang, aula basket, pramuka, musik hindu 712999 4566430",0.088358563,www.sdbintangtimur92.sch.id
SMP Pelita Ilmu 130,Jl. Gatot Subroto No.15,Cilincing,Jakarta Utara,SMP,Nasional Plus,Kurikulum 2013,2627252,6887671,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Tidak Ada,Debat Nasional,Tidak Ada,021-1234567,"surabaya bali tk nasional plus b ruang musik, ruang seni basket, pramuka, musik tidak ada 2627252 6887671",0.032045939,www.smppelitailmu130.sch.id
TK Ceria 256,Jl. Sudirman No.25,Kebon Jeruk,Jakarta Barat,TK,Nasional Plus,Kurikulum 2013,1138348,8937854,Mandarin,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Kristen,Juara 1 OSN,Bus Sekolah,0361-556677,"yogyakarta dki jakarta tk nasional plus a ruang musik, ruang seni futsal, tari, robotik kristen 1138348 8937854",0.039984156,www.tkceria256.sch.id
Sekolah Harapan Bangsa 182,Jl. Mawar No.2,Sawah Besar,Jakarta Pusat,SD,Nasional Plus,Kurikulum 2013,1727739,4984139,Jepang,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Budha,Olimpiade Matematika,Bus Sekolah,021-1234567,"denpasar bali sd nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir budha 1727739 4984139",0.050167842,www.sekolahharapanbangsa182.sch.id
SMA Nusantara 104,Jl. Raya Ujung,Cempaka Putih,Jakarta Pusat,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Tidak Ada,0361-556677,"denpasar bali tk negeri b lab komputer, perpustakaan, lapangan pencak silat, kir budha 2863883 18639038",0.050518064,www.smanusantara104.sch.id
SMA Nusantara 128,Jl. Sudirman No.25,Cengkareng,Jakarta Barat,SMA,Nasional,IB,446642,15920056,Jepang,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Kristen,Lomba Tari Provinsi,Tidak Ada,0274-998877,"bandung di yogyakarta smp nasional a ruang musik, ruang seni pencak silat, kir kristen 446642 15920056",0,www.smanusantara128.sch.id
SMP Pelita Ilmu 219,Jl. Mawar No.2,Kelapa Dua,Jakarta Barat,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"denpasar jawa barat smp negeri b kolam renang, aula basket, pramuka, musik katolik 2341615 1116890",0.034039541,www.smppelitailmu219.sch.id
